bucket_type,bucket_key,rows,unique_emails,sku_token,sku_count,sku_pct,series,series_pct
state_tier,CA,1538,547,V9,49,3.19,,
state_tier,CA,1538,547,V4,847,55.07,,
state_tier,CA,1538,547,V6,237,15.41,,
state_tier,CA,1538,547,V7,59,3.84,,
state_tier,CA,1538,547,V5,59,3.84,,
state_tier,CA,1538,547,M6,173,11.25,,
state_tier,CA,1538,547,M10,5,0.33,,
state_tier,CA,1538,547,M2,68,4.42,,
state_tier,CA,1538,547,M4,41,2.67,,
state_tier,CA,1538,547,,,,V,81.34
state_tier,CA,1538,547,,,,M,18.66
state_tier,OTHER,1600,1478,V4,757,47.31,,
state_tier,OTHER,1600,1478,V6,617,38.56,,
state_tier,OTHER,1600,1478,M2,209,13.06,,
state_tier,OTHER,1600,1478,M4,13,0.81,,
state_tier,OTHER,1600,1478,M10,1,0.06,,
state_tier,OTHER,1600,1478,M6,3,0.19,,
state_tier,OTHER,1600,1478,,,,V,85.88
state_tier,OTHER,1600,1478,,,,M,14.12
state_tier,PRIORITY,559,202,V5,40,7.16,,
state_tier,PRIORITY,559,202,V4,232,41.5,,
state_tier,PRIORITY,559,202,V9,15,2.68,,
state_tier,PRIORITY,559,202,M6,80,14.31,,
state_tier,PRIORITY,559,202,V6,115,20.57,,
state_tier,PRIORITY,559,202,M10,9,1.61,,
state_tier,PRIORITY,559,202,M4,29,5.19,,
state_tier,PRIORITY,559,202,V7,26,4.65,,
state_tier,PRIORITY,559,202,M2,13,2.33,,
state_tier,PRIORITY,559,202,,,,V,76.57
state_tier,PRIORITY,559,202,,,,M,23.43
state_tier,REST_US,1560,620,V6,243,15.58,,
state_tier,REST_US,1560,620,M2,49,3.14,,
state_tier,REST_US,1560,620,V5,109,6.99,,
state_tier,REST_US,1560,620,M6,228,14.62,,
state_tier,REST_US,1560,620,V9,56,3.59,,
state_tier,REST_US,1560,620,V4,686,43.97,,
state_tier,REST_US,1560,620,M10,14,0.9,,
state_tier,REST_US,1560,620,V7,114,7.31,,
state_tier,REST_US,1560,620,M4,61,3.91,,
state_tier,REST_US,1560,620,,,,V,77.44
state_tier,REST_US,1560,620,,,,M,22.56
era,post2025,2734,890,V5,207,7.57,,
era,post2025,2734,890,M6,484,17.7,,
era,post2025,2734,890,V9,120,4.39,,
era,post2025,2734,890,V4,1259,46.05,,
era,post2025,2734,890,V6,337,12.33,,
era,post2025,2734,890,V7,199,7.28,,
era,post2025,2734,890,M10,29,1.06,,
era,post2025,2734,890,M4,63,2.3,,
era,post2025,2734,890,M2,36,1.32,,
era,post2025,2734,890,,,,V,77.62
era,post2025,2734,890,,,,M,22.38
era,pre2025,2523,1921,V4,1263,50.06,,
era,pre2025,2523,1921,V6,875,34.68,,
era,pre2025,2523,1921,M2,303,12.01,,
era,pre2025,2523,1921,M4,81,3.21,,
era,pre2025,2523,1921,V5,1,0.04,,
era,pre2025,2523,1921,,,,V,84.78
era,pre2025,2523,1921,,,,M,15.22
channel,legacy,1592,1471,V4,752,47.24,,
channel,legacy,1592,1471,V6,619,38.88,,
channel,legacy,1592,1471,M2,209,13.13,,
channel,legacy,1592,1471,M4,12,0.75,,
channel,legacy,1592,1471,,,,V,86.12
channel,legacy,1592,1471,,,,M,13.88
channel,shopify,3665,1316,V5,208,5.68,,
channel,shopify,3665,1316,M6,484,13.21,,
channel,shopify,3665,1316,V9,120,3.27,,
channel,shopify,3665,1316,V4,1770,48.29,,
channel,shopify,3665,1316,V6,593,16.18,,
channel,shopify,3665,1316,V7,199,5.43,,
channel,shopify,3665,1316,M10,29,0.79,,
channel,shopify,3665,1316,M4,132,3.6,,
channel,shopify,3665,1316,M2,130,3.55,,
channel,shopify,3665,1316,,,,V,78.85
channel,shopify,3665,1316,,,,M,21.15
series_purchased,M,996,551,M2,339,34.04,,
series_purchased,M,996,551,M4,144,14.46,,
series_purchased,M,996,551,M6,484,48.59,,
series_purchased,M,996,551,M10,29,2.91,,
series_purchased,M,996,551,,,,M,100.0
series_purchased,V,4261,2298,V4,2522,59.19,,
series_purchased,V,4261,2298,V6,1212,28.44,,
series_purchased,V,4261,2298,V5,208,4.88,,
series_purchased,V,4261,2298,V9,120,2.82,,
series_purchased,V,4261,2298,V7,199,4.67,,
series_purchased,V,4261,2298,,,,V,100.0
by_state,CA,1538,547,V9,49,3.19,,
by_state,CA,1538,547,V4,847,55.07,,
by_state,CA,1538,547,V6,237,15.41,,
by_state,CA,1538,547,V7,59,3.84,,
by_state,CA,1538,547,V5,59,3.84,,
by_state,CA,1538,547,M6,173,11.25,,
by_state,CA,1538,547,M10,5,0.33,,
by_state,CA,1538,547,M2,68,4.42,,
by_state,CA,1538,547,M4,41,2.67,,
by_state,CA,1538,547,,,,V,81.34
by_state,CA,1538,547,,,,M,18.66
by_state,TX,234,43,V5,17,7.26,,
by_state,TX,234,43,V4,138,58.97,,
by_state,TX,234,43,V6,30,12.82,,
by_state,TX,234,43,V9,5,2.14,,
by_state,TX,234,43,M6,29,12.39,,
by_state,TX,234,43,M10,4,1.71,,
by_state,TX,234,43,V7,6,2.56,,
by_state,TX,234,43,M4,4,1.71,,
by_state,TX,234,43,M2,1,0.43,,
by_state,TX,234,43,,,,V,83.76
by_state,TX,234,43,,,,M,16.24
by_state,NY,201,127,V4,37,18.41,,
by_state,NY,201,127,V9,8,3.98,,
by_state,NY,201,127,V5,14,6.97,,
by_state,NY,201,127,V6,64,31.84,,
by_state,NY,201,127,M10,1,0.5,,
by_state,NY,201,127,M6,31,15.42,,
by_state,NY,201,127,M4,25,12.44,,
by_state,NY,201,127,V7,14,6.97,,
by_state,NY,201,127,M2,7,3.48,,
by_state,NY,201,127,,,,V,68.16
by_state,NY,201,127,,,,M,31.84
by_state,IL,175,119,M6,23,13.14,,
by_state,IL,175,119,V4,55,31.43,,
by_state,IL,175,119,V6,29,16.57,,
by_state,IL,175,119,V7,16,9.14,,
by_state,IL,175,119,V5,11,6.29,,
by_state,IL,175,119,V9,5,2.86,,
by_state,IL,175,119,M4,25,14.29,,
by_state,IL,175,119,M2,11,6.29,,
by_state,IL,175,119,,,,V,66.29
by_state,IL,175,119,,,,M,33.71
by_state,WA,167,54,M6,20,11.98,,
by_state,WA,167,54,V4,110,65.87,,
by_state,WA,167,54,V6,21,12.57,,
by_state,WA,167,54,V7,2,1.2,,
by_state,WA,167,54,V9,1,0.6,,
by_state,WA,167,54,V5,9,5.39,,
by_state,WA,167,54,M2,2,1.2,,
by_state,WA,167,54,M4,2,1.2,,
by_state,WA,167,54,,,,V,85.63
by_state,WA,167,54,,,,M,14.37
by_state,VA,159,83,M6,24,15.09,,
by_state,VA,159,83,V4,57,35.85,,
by_state,VA,159,83,V7,31,19.5,,
by_state,VA,159,83,V9,15,9.43,,
by_state,VA,159,83,M10,2,1.26,,
by_state,VA,159,83,V6,13,8.18,,
by_state,VA,159,83,V5,11,6.92,,
by_state,VA,159,83,M4,5,3.14,,
by_state,VA,159,83,M2,1,0.63,,
by_state,VA,159,83,,,,V,79.87
by_state,VA,159,83,,,,M,20.13
by_state,NJ,136,78,V4,30,22.06,,
by_state,NJ,136,78,V9,10,7.35,,
by_state,NJ,136,78,V7,20,14.71,,
by_state,NJ,136,78,V5,3,2.21,,
by_state,NJ,136,78,M10,3,2.21,,
by_state,NJ,136,78,V6,38,27.94,,
by_state,NJ,136,78,M6,18,13.24,,
by_state,NJ,136,78,M4,9,6.62,,
by_state,NJ,136,78,M2,5,3.68,,
by_state,NJ,136,78,,,,V,74.26
by_state,NJ,136,78,,,,M,25.74
by_state,FL,124,53,V9,2,1.61,,
by_state,FL,124,53,V4,57,45.97,,
by_state,FL,124,53,M6,20,16.13,,
by_state,FL,124,53,V5,9,7.26,,
by_state,FL,124,53,M10,4,3.23,,
by_state,FL,124,53,V6,21,16.94,,
by_state,FL,124,53,V7,6,4.84,,
by_state,FL,124,53,M2,5,4.03,,
by_state,FL,124,53,,,,V,76.61
by_state,FL,124,53,,,,M,23.39
by_state,MD,93,53,V5,9,9.68,,
by_state,MD,93,53,M6,12,12.9,,
by_state,MD,93,53,V4,43,46.24,,
by_state,MD,93,53,V6,11,11.83,,
by_state,MD,93,53,M10,1,1.08,,
by_state,MD,93,53,V9,5,5.38,,
by_state,MD,93,53,V7,8,8.6,,
by_state,MD,93,53,M4,3,3.23,,
by_state,MD,93,53,M2,1,1.08,,
by_state,MD,93,53,,,,V,81.72
by_state,MD,93,53,,,,M,18.28
by_state,GA,93,36,V4,36,38.71,,
by_state,GA,93,36,V7,7,7.53,,
by_state,GA,93,36,V9,5,5.38,,
by_state,GA,93,36,M6,12,12.9,,
by_state,GA,93,36,M10,2,2.15,,
by_state,GA,93,36,V5,8,8.6,,
by_state,GA,93,36,V6,16,17.2,,
by_state,GA,93,36,M4,1,1.08,,
by_state,GA,93,36,M2,6,6.45,,
by_state,GA,93,36,,,,V,77.42
by_state,GA,93,36,,,,M,22.58
by_state,AZ,60,24,V4,37,61.67,,
by_state,AZ,60,24,M6,11,18.33,,
by_state,AZ,60,24,V9,2,3.33,,
by_state,AZ,60,24,V7,2,3.33,,
by_state,AZ,60,24,M10,1,1.67,,
by_state,AZ,60,24,V5,1,1.67,,
by_state,AZ,60,24,V6,4,6.67,,
by_state,AZ,60,24,M4,2,3.33,,
by_state,AZ,60,24,,,,V,76.67
by_state,AZ,60,24,,,,M,23.33
by_state,MA,54,19,V4,24,44.44,,
by_state,MA,54,19,M6,11,20.37,,
by_state,MA,54,19,V9,1,1.85,,
by_state,MA,54,19,V5,4,7.41,,
by_state,MA,54,19,V6,11,20.37,,
by_state,MA,54,19,V7,1,1.85,,
by_state,MA,54,19,M2,2,3.7,,
by_state,MA,54,19,,,,V,75.93
by_state,MA,54,19,,,,M,24.07
by_state,CO,53,24,V4,27,50.94,,
by_state,CO,53,24,V7,1,1.89,,
by_state,CO,53,24,V6,14,26.42,,
by_state,CO,53,24,M10,1,1.89,,
by_state,CO,53,24,V5,6,11.32,,
by_state,CO,53,24,M6,3,5.66,,
by_state,CO,53,24,M2,1,1.89,,
by_state,CO,53,24,,,,V,90.57
by_state,CO,53,24,,,,M,9.43
by_state,PA,48,23,V9,4,8.33,,
by_state,PA,48,23,V4,19,39.58,,
by_state,PA,48,23,V7,4,8.33,,
by_state,PA,48,23,V5,6,12.5,,
by_state,PA,48,23,M10,1,2.08,,
by_state,PA,48,23,V6,9,18.75,,
by_state,PA,48,23,M6,2,4.17,,
by_state,PA,48,23,M4,2,4.17,,
by_state,PA,48,23,M2,1,2.08,,
by_state,PA,48,23,,,,V,87.5
by_state,PA,48,23,,,,M,12.5
by_state,MI,46,21,V4,26,56.52,,
by_state,MI,46,21,V5,3,6.52,,
by_state,MI,46,21,V6,5,10.87,,
by_state,MI,46,21,M6,5,10.87,,
by_state,MI,46,21,V9,1,2.17,,
by_state,MI,46,21,V7,1,2.17,,
by_state,MI,46,21,M2,4,8.7,,
by_state,MI,46,21,M4,1,2.17,,
by_state,MI,46,21,,,,V,78.26
by_state,MI,46,21,,,,M,21.74
by_state,NV,43,16,V4,24,55.81,,
by_state,NV,43,16,V7,1,2.33,,
by_state,NV,43,16,M6,10,23.26,,
by_state,NV,43,16,V6,5,11.63,,
by_state,NV,43,16,V5,2,4.65,,
by_state,NV,43,16,M4,1,2.33,,
by_state,NV,43,16,,,,V,74.42
by_state,NV,43,16,,,,M,25.58
by_state,OR,40,15,V4,26,65.0,,
by_state,OR,40,15,V7,2,5.0,,
by_state,OR,40,15,M6,6,15.0,,
by_state,OR,40,15,V6,2,5.0,,
by_state,OR,40,15,V5,2,5.0,,
by_state,OR,40,15,M4,1,2.5,,
by_state,OR,40,15,M2,1,2.5,,
by_state,OR,40,15,,,,V,80.0
by_state,OR,40,15,,,,M,20.0
by_state,IN,38,19,V4,15,39.47,,
by_state,IN,38,19,M6,7,18.42,,
by_state,IN,38,19,V6,9,23.68,,
by_state,IN,38,19,V5,2,5.26,,
by_state,IN,38,19,M4,2,5.26,,
by_state,IN,38,19,M2,3,7.89,,
by_state,IN,38,19,,,,V,68.42
by_state,IN,38,19,,,,M,31.58
by_state,NC,38,17,V7,3,7.89,,
by_state,NC,38,17,V4,16,42.11,,
by_state,NC,38,17,M6,10,26.32,,
by_state,NC,38,17,M10,1,2.63,,
by_state,NC,38,17,V6,4,10.53,,
by_state,NC,38,17,V5,2,5.26,,
by_state,NC,38,17,M2,2,5.26,,
by_state,NC,38,17,,,,V,65.79
by_state,NC,38,17,,,,M,34.21
by_state,UT,31,13,V4,8,25.81,,
by_state,UT,31,13,M6,9,29.03,,
by_state,UT,31,13,V5,4,12.9,,
by_state,UT,31,13,V7,1,3.23,,
by_state,UT,31,13,V6,7,22.58,,
by_state,UT,31,13,M2,2,6.45,,
by_state,UT,31,13,,,,V,64.52
by_state,UT,31,13,,,,M,35.48
by_state,WI,26,19,V4,6,23.08,,
by_state,WI,26,19,V9,1,3.85,,
by_state,WI,26,19,M6,3,11.54,,
by_state,WI,26,19,V7,2,7.69,,
by_state,WI,26,19,V5,2,7.69,,
by_state,WI,26,19,V6,8,30.77,,
by_state,WI,26,19,M4,3,11.54,,
by_state,WI,26,19,M2,1,3.85,,
by_state,WI,26,19,,,,V,73.08
by_state,WI,26,19,,,,M,26.92
by_state,OH,26,17,V6,6,23.08,,
by_state,OH,26,17,V9,1,3.85,,
by_state,OH,26,17,V4,9,34.62,,
by_state,OH,26,17,V7,3,11.54,,
by_state,OH,26,17,M10,1,3.85,,
by_state,OH,26,17,V5,4,15.38,,
by_state,OH,26,17,M6,1,3.85,,
by_state,OH,26,17,M2,1,3.85,,
by_state,OH,26,17,,,,V,88.46
by_state,OH,26,17,,,,M,11.54
by_state,CT,22,16,V4,8,36.36,,
by_state,CT,22,16,V6,5,22.73,,
by_state,CT,22,16,V9,1,4.55,,
by_state,CT,22,16,V5,1,4.55,,
by_state,CT,22,16,V7,3,13.64,,
by_state,CT,22,16,M6,1,4.55,,
by_state,CT,22,16,M4,2,9.09,,
by_state,CT,22,16,M2,1,4.55,,
by_state,CT,22,16,,,,V,81.82
by_state,CT,22,16,,,,M,18.18
by_state,ID,19,6,M10,1,5.26,,
by_state,ID,19,6,V4,15,78.95,,
by_state,ID,19,6,M6,3,15.79,,
by_state,ID,19,6,,,,V,78.95
by_state,ID,19,6,,,,M,21.05
by_state,MN,17,8,V5,1,5.88,,
by_state,MN,17,8,V4,12,70.59,,
by_state,MN,17,8,M6,1,5.88,,
by_state,MN,17,8,V6,3,17.65,,
by_state,MN,17,8,,,,V,94.12
by_state,MN,17,8,,,,M,5.88
by_state,HI,16,5,M6,8,50.0,,
by_state,HI,16,5,V4,5,31.25,,
by_state,HI,16,5,V6,3,18.75,,
by_state,HI,16,5,,,,M,50.0
by_state,HI,16,5,,,,V,50.0
by_state,SD,15,10,V4,11,73.33,,
by_state,SD,15,10,V5,3,20.0,,
by_state,SD,15,10,M2,1,6.67,,
by_state,SD,15,10,,,,V,93.33
by_state,SD,15,10,,,,M,6.67
by_state,MO,14,8,V4,5,35.71,,
by_state,MO,14,8,M6,4,28.57,,
by_state,MO,14,8,V9,1,7.14,,
by_state,MO,14,8,V6,2,14.29,,
by_state,MO,14,8,V5,2,14.29,,
by_state,MO,14,8,,,,V,71.43
by_state,MO,14,8,,,,M,28.57
by_state,TN,13,7,V4,5,38.46,,
by_state,TN,13,7,V5,3,23.08,,
by_state,TN,13,7,M6,3,23.08,,
by_state,TN,13,7,V7,2,15.38,,
by_state,TN,13,7,,,,V,76.92
by_state,TN,13,7,,,,M,23.08
by_state,SC,12,5,V6,3,25.0,,
by_state,SC,12,5,M6,6,50.0,,
by_state,SC,12,5,V4,3,25.0,,
by_state,SC,12,5,,,,V,50.0
by_state,SC,12,5,,,,M,50.0
by_state,AL,12,6,V4,6,50.0,,
by_state,AL,12,6,V5,4,33.33,,
by_state,AL,12,6,V7,1,8.33,,
by_state,AL,12,6,V6,1,8.33,,
by_state,AL,12,6,,,,V,100.0
by_state,NM,11,3,V4,6,54.55,,
by_state,NM,11,3,M6,4,36.36,,
by_state,NM,11,3,V5,1,9.09,,
by_state,NM,11,3,,,,V,63.64
by_state,NM,11,3,,,,M,36.36
by_state,KS,9,5,V4,5,55.56,,
by_state,KS,9,5,V5,1,11.11,,
by_state,KS,9,5,M6,1,11.11,,
by_state,KS,9,5,V6,2,22.22,,
by_state,KS,9,5,,,,V,88.89
by_state,KS,9,5,,,,M,11.11
by_state,KY,8,5,V4,3,37.5,,
by_state,KY,8,5,M6,2,25.0,,
by_state,KY,8,5,V7,2,25.0,,
by_state,KY,8,5,V6,1,12.5,,
by_state,KY,8,5,,,,V,75.0
by_state,KY,8,5,,,,M,25.0
by_state,NE,8,1,M6,3,37.5,,
by_state,NE,8,1,V4,5,62.5,,
by_state,NE,8,1,,,,V,62.5
by_state,NE,8,1,,,,M,37.5
by_state,LA,7,6,V6,3,42.86,,
by_state,LA,7,6,M2,1,14.29,,
by_state,LA,7,6,V5,2,28.57,,
by_state,LA,7,6,V4,1,14.29,,
by_state,LA,7,6,,,,V,85.71
by_state,LA,7,6,,,,M,14.29
by_state,AK,7,3,V4,6,85.71,,
by_state,AK,7,3,M2,1,14.29,,
by_state,AK,7,3,,,,V,85.71
by_state,AK,7,3,,,,M,14.29
by_state,MT,7,4,V5,2,28.57,,
by_state,MT,7,4,M6,2,28.57,,
by_state,MT,7,4,V4,2,28.57,,
by_state,MT,7,4,V6,1,14.29,,
by_state,MT,7,4,,,,V,71.43
by_state,MT,7,4,,,,M,28.57
by_state,DE,6,5,V9,2,33.33,,
by_state,DE,6,5,V6,2,33.33,,
by_state,DE,6,5,V4,2,33.33,,
by_state,DE,6,5,,,,V,100.0
by_state,IA,6,4,V4,4,66.67,,
by_state,IA,6,4,M6,1,16.67,,
by_state,IA,6,4,V7,1,16.67,,
by_state,IA,6,4,,,,V,83.33
by_state,IA,6,4,,,,M,16.67
by_state,ND,5,3,V4,4,80.0,,
by_state,ND,5,3,V6,1,20.0,,
by_state,ND,5,3,,,,V,100.0
by_state,OK,5,5,V4,2,40.0,,
by_state,OK,5,5,V6,2,40.0,,
by_state,OK,5,5,M4,1,20.0,,
by_state,OK,5,5,,,,V,80.0
by_state,OK,5,5,,,,M,20.0
by_state,AR,4,3,M6,1,25.0,,
by_state,AR,4,3,V4,2,50.0,,
by_state,AR,4,3,M2,1,25.0,,
by_state,AR,4,3,,,,M,50.0
