state,buyer_rows,buyer_share_pct,prospect_rows,prospect_share_pct,reweight,over_index_in_buyers
AK,7,0.19,4122,0.16,0.8246,1.21
AL,12,0.33,36823,1.41,4.2971,0.23
AR,4,0.11,18001,0.69,6.302,0.16
AZ,60,1.64,61425,2.35,1.4336,0.7
CA,1538,42.06,283567,10.86,0.2582,3.87
CO,53,1.45,46137,1.77,1.219,0.82
CT,22,0.6,22109,0.85,1.4073,0.71
DC,3,0.08,4179,0.16,1.9507,0.51
DE,6,0.16,9019,0.35,2.105,0.48
FL,124,3.39,203434,7.79,2.2974,0.44
GA,93,2.54,94966,3.64,1.43,0.7
HI,16,0.44,9815,0.38,0.859,1.16
IA,6,0.16,26604,1.02,6.2092,0.16
ID,19,0.52,13676,0.52,1.008,0.99
IL,175,4.79,101486,3.89,0.8121,1.23
IN,38,1.04,59971,2.3,2.21,0.45
KS,9,0.25,23880,0.91,3.7156,0.27
KY,8,0.22,24527,0.94,4.2933,0.23
LA,7,0.19,24043,0.92,4.8098,0.21
MA,54,1.48,53188,2.04,1.3793,0.73
MD,93,2.54,49226,1.88,0.7412,1.35
ME,1,0.03,10603,0.41,14.848,0.07
MI,46,1.26,88698,3.4,2.7002,0.37
MN,17,0.46,41566,1.59,3.424,0.29
MO,14,0.38,49470,1.89,4.9483,0.2
MS,1,0.03,15896,0.61,22.2601,0.04
MT,7,0.19,7717,0.3,1.5438,0.65
NC,38,1.04,88373,3.38,3.2567,0.31
ND,5,0.14,5532,0.21,1.5494,0.65
NE,8,0.22,16502,0.63,2.8886,0.35
NH,2,0.05,12883,0.49,9.0204,0.11
NJ,136,3.72,49690,1.9,0.5116,1.95
NM,11,0.3,14443,0.55,1.8387,0.54
NV,43,1.18,26765,1.02,0.8716,1.15
NY,201,5.5,136176,5.21,0.9487,1.05
OH,26,0.71,121403,4.65,6.5388,0.15
OK,5,0.14,26626,1.02,7.4572,0.13
OR,40,1.09,34106,1.31,1.194,0.84
PA,48,1.31,128362,4.92,3.7449,0.27
RI,2,0.05,9354,0.36,6.5495,0.15
SC,12,0.33,43724,1.67,5.1024,0.2
SD,15,0.41,6575,0.25,0.6138,1.63
TN,13,0.36,56287,2.16,6.0632,0.16
TX,234,6.4,228599,8.75,1.368,0.73
UT,31,0.85,21590,0.83,0.9753,1.03
VA,159,4.35,68425,2.62,0.6026,1.66
VT,0,0.0,4906,0.19,,
WA,167,4.57,57070,2.19,0.4786,2.09
WI,26,0.71,54395,2.08,2.9297,0.34
WV,1,0.03,12330,0.47,17.2664,0.06
WY,1,0.03,3206,0.12,4.4896,0.22
